,created_at,favorite_count,full_text,hashtags,id,id_str,lang,media,retweet_count,source,urls,user,user_mentions,quoted_status,quoted_status_id,quoted_status_id_str,handle,date_time,date,date_week,clean_tweet,break_tweet,raw_polarity,raw_subjectivity,clean_polarity,clean_subjectivity
65,Tue Sep 10 00:45:23 +0000 2019,1593,"Right now, cleanup crews, first responders, soldiers, &amp; volunteers are helping people in Eastern Canada after Hurricane Dorian. I visited the Government Operations Centre for a briefing on how things are going, and what support is still needed. https://t.co/RtIKQYXRVt",[],1171223107119525893,1171223107119525893,en,"[{'display_url': 'pic.twitter.com/RtIKQYXRVt', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1171223107119525893/photo/1', 'id': 1171223098970071041, 'media_url': 'http://pbs.twimg.com/media/EEEFM_7X4AEYsjn.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EEEFM_7X4AEYsjn.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/RtIKQYXRVt'}]",242,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,,,JustinTrudeau,2019-09-10 00:45:23+00:00,2019-09-10,2019-09-09,right cleanup crew first responder soldier amp volunteer help person eastern canada hurricane dorian visited government operation centre brief thing go support still need http t.co/rtikqyxrvt,"Right now, cleanup crews, first responders, soldiers, &amp; <br>volunteers are helping people in Eastern Canada after Hurric<br>ane Dorian. I visited the Government Operations Centre for a<br> briefing on how things are going, and what support is still<br> needed. https://t.co/RtIKQYXRV<br>",0.26785714285714285,0.43452380952380953,0.17857142857142858,0.40079365079365076
67,Mon Sep 09 22:20:52 +0000 2019,636,"Thank you, @perrybellegarde. We’ve made a lot of progress together, and we’re going to keep working hard in close partnership with @AFN_Updates on First Nations priorities, just like we have these past four years. https://t.co/PKXS32PIn5",[],1171186737537855488,1171186737537855488,en,,138,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'expanded_url': 'https://twitter.com/perrybellegarde/status/1171061575899328512', 'url': 'https://t.co/PKXS32PIn5'}]","{'id': 14260960, 'id_str': '14260960'}","[{'id': 2835719551, 'id_str': '2835719551', 'name': 'Perry Bellegarde', 'screen_name': 'perrybellegarde'}, {'id': 25125905, 'id_str': '25125905', 'name': 'AFN', 'screen_name': 'AFN_Updates'}]","{'created_at': 'Mon Sep 09 14:03:31 +0000 2019', 'favorite_count': 1329, 'full_text': 'Today, I unveiled an ambitious plan to ensure First Nations issues remain front and centre in this year’s election and to encourage political parties to build a plan that encourages prosperity for First Nations. Read “Honouring Promises” here - https://t.co/uJQ8zTHZYE #elxn43', 'hashtags': [{'text': 'elxn43'}], 'id': 1171061575899328512, 'id_str': '1171061575899328512', 'lang': 'en', 'retweet_count': 343, 'source': '<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>', 'urls': [{'expanded_url': 'https://www.afn.ca/2019-federal-election/', 'url': 'https://t.co/uJQ8zTHZYE'}], 'user': {'id': 2835719551, 'id_str': '2835719551'}, 'user_mentions': []}",1.1710615758993285e+18,1171061575899328512,JustinTrudeau,2019-09-09 22:20:52+00:00,2019-09-09,2019-09-09,thank perrybellegarde ’ make lot progress together ’ go keep work hard close partnership afn_update first nation priority like past fmy year http t.co/pkxs32pin5,"Thank you, @perrybellegarde. We’ve made a lot of progress to<br>gether, and we’re going to keep working hard in close partne<br>rship with @AFN_Updates on First Nations priorities, just li<br>ke we have these past four years. https://t.co/PKXS32PIn<br>",-0.09722222222222222,0.375,-0.09722222222222222,0.375
69,Mon Sep 09 21:48:41 +0000 2019,801,"Are you ready to #ChooseForward tonight, Carleton? I’ll see you and @VoteChris2019 soon! https://t.co/IUulxpMbBM",[{'text': 'ChooseForward'}],1171178639490260992,1171178639490260992,en,,132,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'expanded_url': 'https://twitter.com/VoteChris2019/status/1171111129373970432', 'url': 'https://t.co/IUulxpMbBM'}]","{'id': 14260960, 'id_str': '14260960'}","[{'id': 2555150671, 'id_str': '2555150671', 'name': 'Chris Rodgers', 'screen_name': 'VoteChris2019'}]","{'created_at': 'Mon Sep 09 17:20:26 +0000 2019', 'favorite_count': 266, 'full_text': ""Great news, everyone! Thrilled to share that our very special guest tonight will be @JustinTrudeau! \n\nCan't wait to see you all tonight!\n#Cdnpoli #elxn43 #Carleton https://t.co/dU8HsfRr37"", 'hashtags': [{'text': 'Cdnpoli'}, {'text': 'elxn43'}, {'text': 'Carleton'}], 'id': 1171111129373970432, 'id_str': '1171111129373970432', 'lang': 'en', 'quoted_status_id': 1171081185155526656, 'quoted_status_id_str': '1171081185155526656', 'retweet_count': 65, 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'urls': [{'expanded_url': 'https://twitter.com/VoteChris2019/status/1171081185155526656', 'url': 'https://t.co/dU8HsfRr37'}], 'user': {'id': 2555150671, 'id_str': '2555150671'}, 'user_mentions': [{'id': 14260960, 'id_str': '14260960', 'name': 'Justin Trudeau', 'screen_name': 'JustinTrudeau'}]}",1.1711111293739704e+18,1171111129373970432,JustinTrudeau,2019-09-09 21:48:41+00:00,2019-09-09,2019-09-09,ready chooseforward tonight carleton ’ see votechris2019 soon http t.co/iuulxpmbbm,"Are you ready to #ChooseForward tonight, Carleton? I’ll see <br>you and @VoteChris2019 soon! https://t.co/IUulxpMbB<br>",0.25,0.5,0.2,0.5
71,Sun Sep 08 22:18:50 +0000 2019,3703,To everyone dealing with the aftermath of Hurricane Dorian: Canadians are with you. I spoke with Premiers @dennyking &amp; @StephenMcNeil today to offer our government's continued support as you get through this. Thanks to the first responders who have been working hard on the ground,[],1170823836155166722,1170823836155166722,en,,566,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"{'id': 14260960, 'id_str': '14260960'}","[{'id': 1206179328, 'id_str': '1206179328', 'name': 'Dennis King', 'screen_name': 'dennyking'}, {'id': 19444027, 'id_str': '19444027', 'name': 'Stephen McNeil', 'screen_name': 'StephenMcNeil'}]",,,,JustinTrudeau,2019-09-08 22:18:50+00:00,2019-09-08,2019-09-02,everyone deal aftermath hurricane dorian canadian speak premier dennyking amp stephenmcneil today offer government continue support get thi thank first responder work hard ground,To everyone dealing with the aftermath of Hurricane Dorian: <br>Canadians are with you. I spoke with Premiers @dennyking &am<br>p; @StephenMcNeil today to offer our government's continued <br>support as you get through this. Thanks to the first respond<br>ers who have been working hard on the groun<br>,0.05277777777777778,0.35833333333333334,-0.020833333333333343,0.4375
73,Sun Sep 08 13:09:17 +0000 2019,1659,"Reading and writing are the building blocks that help people create a better future for themselves. On #InternationalLiteracyDay, we recognize everyone who works tirelessly to improve literacy &amp; access to education around the world: https://t.co/lnyuaZooFs",[{'text': 'InternationalLiteracyDay'}],1170685541161086978,1170685541161086978,en,,380,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'expanded_url': 'https://pm.gc.ca/en/news/statements/2019/09/08/statement-prime-minister-international-literacy-day', 'url': 'https://t.co/lnyuaZooFs'}]","{'id': 14260960, 'id_str': '14260960'}",[],,,,JustinTrudeau,2019-09-08 13:09:17+00:00,2019-09-08,2019-09-02,read write building block help person create good future themself internationalliteracyday recognize everyone work tirelessly improve literacy amp acces education around world http t.co/lnyuazoof,"Reading and writing are the building blocks that help people<br> create a better future for themselves. On #InternationalLit<br>eracyDay, we recognize everyone who works tirelessly to impr<br>ove literacy &amp; access to education around the world: htt<br>ps://t.co/lnyuaZooF<br>",0.25,0.3125,0.35,0.36250000000000004
75,Sat Sep 07 22:28:31 +0000 2019,37034,Congratulations @Bandreescu_! 🇨🇦 You’ve made history and made a whole country very proud. #SheTheNorth https://t.co/W98v1lUN9o,[{'text': 'SheTheNorth'}],1170463888007225344,1170463888007225344,en,,5197,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'expanded_url': 'https://twitter.com/tenniscanada/status/1170456506732601344', 'url': 'https://t.co/W98v1lUN9o'}]","{'id': 14260960, 'id_str': '14260960'}","[{'id': 2752812749, 'id_str': '2752812749', 'name': 'Bianca', 'screen_name': 'Bandreescu_'}]","{'created_at': 'Sat Sep 07 21:59:11 +0000 2019', 'favorite_count': 28216, 'full_text': ""CANADIAN HISTORY. 🇨🇦\n\nBIANCA ANDREESCU is the #USOpen CHAMPION!\n\nThe 19-year-old brings her absolute best tennis to defeat Serena Williams 6-3, 7-5, becoming Canada's first-ever Grand Slam champion in singles. \n\n#SheTheNorth, indeed. 🍁 https://t.co/pjSgai8ak4"", 'hashtags': [{'text': 'USOpen'}, {'text': 'SheTheNorth'}], 'id': 1170456506732601344, 'id_str': '1170456506732601344', 'lang': 'en', 'media': [{'display_url': 'pic.twitter.com/pjSgai8ak4', 'expanded_url': 'https://twitter.com/TennisCanada/status/1170456506732601344/photo/1', 'id': 1170455954766405632, 'media_url': 'http://pbs.twimg.com/media/ED5LfVEXoAA1yrA.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ED5LfVEXoAA1yrA.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1365, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/pjSgai8ak4'}], 'retweet_count': 6931, 'source': '<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>', 'urls': [], 'user': {'id': 22178135, 'id_str': '22178135'}, 'user_mentions': []}",1.1704565067326013e+18,1170456506732601344,JustinTrudeau,2019-09-07 22:28:31+00:00,2019-09-07,2019-09-02,congratulation bandreescu 🇨🇦 ’ make history make whole country proud shethenorth http t.co/w98v1lun9o,Congratulations @Bandreescu_! 🇨🇦 You’ve made history and mad<br>e a whole country very proud. #SheTheNorth https://t.co/W98v<br>1lUN9<br>,0.6,0.7,0.5,0.7
77,Sat Sep 07 17:28:32 +0000 2019,1605,"Just received a briefing with @HarjitSajjan, @RalphGoodale and @CDS_Canada_CEMD about the latest information on Hurricane Dorian. The safety of Canadians is our number one priority and we’re ready to help Atlantic Canada through this storm.",[],1170388393391529984,1170388393391529984,en,,341,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"{'id': 14260960, 'id_str': '14260960'}","[{'id': 413802355, 'id_str': '413802355', 'name': 'Harjit Sajjan', 'screen_name': 'HarjitSajjan'}, {'id': 188359178, 'id_str': '188359178', 'name': 'Ralph Goodale', 'screen_name': 'RalphGoodale'}, {'id': 723208054699790336, 'id_str': '723208054699790336', 'name': 'General Jonathan Vance', 'screen_name': 'CDS_Canada_CEMD'}]",,,,JustinTrudeau,2019-09-07 17:28:32+00:00,2019-09-07,2019-09-02,receive brief harjitsajjan ralphgoodale cds_canada_cemd late information hurricane dorian safety canadian number one priority ’ ready help atlantic canada thi storm,"Just received a briefing with @HarjitSajjan, @RalphGoodale a<br>nd @CDS_Canada_CEMD about the latest information on Hurrican<br>e Dorian. The safety of Canadians is our number one priority<br> and we’re ready to help Atlantic Canada through this storm<br>",0.35,0.7,-0.033333333333333326,0.4777777777777778
79,Sat Sep 07 14:15:02 +0000 2019,2506,To everyone in Atlantic Canada bracing for Hurricane Dorian: we’re thinking of you and monitoring the situation closely. Please stay safe &amp; listen to your local officials. https://t.co/v8BKWfrdn0,[],1170339698218348544,1170339698218348544,en,,568,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'expanded_url': 'https://twitter.com/safety_canada/status/1169997449597001729', 'url': 'https://t.co/v8BKWfrdn0'}]","{'id': 14260960, 'id_str': '14260960'}",[],"{'created_at': 'Fri Sep 06 15:35:04 +0000 2019', 'favorite_count': 116, 'full_text': 'Atlantic Canada: make sure you know what to do if #Dorian hits https://t.co/teREQ7yDJL', 'hashtags': [{'text': 'Dorian'}], 'id': 1169997449597001729, 'id_str': '1169997449597001729', 'lang': 'en', 'media': [{'display_url': 'pic.twitter.com/teREQ7yDJL', 'expanded_url': 'https://twitter.com/Safety_Canada/status/1169997449597001729/photo/1', 'id': 1169997447415967745, 'media_url': 'http://pbs.twimg.com/media/EDyqesFXsAEV2wD.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EDyqesFXsAEV2wD.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1436, 'resize': 'fit'}, 'small': {'w': 680, 'h': 477, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 841, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/teREQ7yDJL'}], 'retweet_count': 108, 'source': '<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>', 'urls': [], 'user': {'id': 259861738, 'id_str': '259861738'}, 'user_mentions': []}",1.1699974495970017e+18,1169997449597001729,JustinTrudeau,2019-09-07 14:15:02+00:00,2019-09-07,2019-09-02,everyone atlantic canada brace hurricane dorian ’ think monitor situation closely please stay safe amp listen ymy local official http t.co/v8bkwfrdn0,To everyone in Atlantic Canada bracing for Hurricane Dorian:<br> we’re thinking of you and monitoring the situation closely.<br> Please stay safe &amp; listen to your local officials. http<br>s://t.co/v8BKWfrdn<br>,0.25,0.25,0.25,0.25
81,Fri Sep 06 22:18:40 +0000 2019,1564,"Schools are where our kids learn, grow, &amp; start to accomplish their dreams – to see one destroyed like this is heartbreaking. I’m thinking of the all the Parkcrest Elementary School students, teachers, staff &amp; families who have lost an important part of the Kamloops community. https://t.co/ONHIgrLa4x",[],1170099021773529095,1170099021773529095,en,,307,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'expanded_url': 'https://twitter.com/globalbc/status/1169819861574275077', 'url': 'https://t.co/ONHIgrLa4x'}]","{'id': 14260960, 'id_str': '14260960'}",[],"{'created_at': 'Fri Sep 06 03:49:23 +0000 2019', 'favorite_count': 27, 'full_text': ""UPDATE: The fire at Parkcrest Elementary in Kamloops, which has already destroyed the school, is expected to burn through the night. Parents should check with the school's website for updates. More here:\nhttps://t.co/xbn4Fu4w0S"", 'hashtags': [], 'id': 1169819861574275077, 'id_str': '1169819861574275077', 'lang': 'en', 'retweet_count': 17, 'source': '<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>', 'urls': [{'expanded_url': 'https://trib.al/uxsMAUa', 'url': 'https://t.co/xbn4Fu4w0S'}], 'user': {'id': 20711586, 'id_str': '20711586'}, 'user_mentions': []}",1.169819861574275e+18,1169819861574275077,JustinTrudeau,2019-09-06 22:18:40+00:00,2019-09-06,2019-09-02,school kid learn grow amp start accomplish dream – see one destroy like thi heartbreaking ’ think parkcrest elementary school student teacher staff amp family lose important part kamloop community http t.co/onhigrla4x,"Schools are where our kids learn, grow, &amp; start to accom<br>plish their dreams – to see one destroyed like this is heart<br>breaking. I’m thinking of the all the Parkcrest Elementary S<br>chool students, teachers, staff &amp; families who have lost<br> an important part of the Kamloops community. https://t.co/O<br>NHIgrLa4<br>",0.35,0.95,0.16666666666666666,0.6333333333333333
83,Fri Sep 06 20:12:39 +0000 2019,1801,"⬆️Over 1.1 million new jobs since 2015
⬆️81,100 new jobs in August alone
⬆️A strong economy, and growing middle class
➕Lots more work to do. #ChooseForward https://t.co/tar7R1p9jT",[{'text': 'ChooseForward'}],1170067305818206208,1170067305818206208,en,,464,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","[{'expanded_url': 'https://twitter.com/liberal_party/status/1170056377789755392', 'url': 'https://t.co/tar7R1p9jT'}]","{'id': 14260960, 'id_str': '14260960'}",[],"{'created_at': 'Fri Sep 06 19:29:13 +0000 2019', 'favorite_count': 582, 'full_text': 'The Liberal team was elected in 2015 on a platform to grow our economy and invest in our middle class. Since then, Canadians have created over 1.1 million new jobs. \n\nLet’s keep building on this progress together 🇨🇦 https://t.co/0Rkn8TFmrT', 'hashtags': [], 'id': 1170056377789755392, 'id_str': '1170056377789755392', 'lang': 'en', 'media': [{'display_url': 'pic.twitter.com/0Rkn8TFmrT', 'expanded_url': 'https://twitter.com/liberal_party/status/1170056377789755392/photo/1', 'id': 1170054875671121920, 'media_url': 'http://pbs.twimg.com/media/EDzetdAXUAAtUrQ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EDzetdAXUAAtUrQ.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 676, 'resize': 'fit'}, 'large': {'w': 1200, 'h': 676, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/0Rkn8TFmrT'}], 'retweet_count': 173, 'source': '<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>', 'urls': [], 'user': {'id': 16397147, 'id_str': '16397147'}, 'user_mentions': []}",1.1700563777897554e+18,1170056377789755392,JustinTrudeau,2019-09-06 20:12:39+00:00,2019-09-06,2019-09-02,"⬆️over 1.1 million new job since 2015 ⬆️81,100 new job august alone ⬆️a strong economy grow middle clas ➕lot work chooseforward http t.co/tar7r1p9jt","⬆️Over 1.1 million new jobs since 2015
⬆️81,100 new jobs in <br>August alone
⬆️A strong economy, and growing middle class
➕L<br>ots more work to do. #ChooseForward https://t.co/tar7R1p9j<br>",0.2412121212121212,0.4284848484848485,0.1765151515151515,0.4106060606060606
85,Fri Sep 06 17:10:56 +0000 2019,1702,"Great news today: More good middle class jobs for Canadians, and a strong &amp; growing economy. Together, we’ll keep building on our progress. #ChooseForward https://t.co/xVTnvkFQoo",[{'text': 'ChooseForward'}],1170021578282799104,1170021578282799104,en,,348,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'expanded_url': 'https://www.bloomberg.com/news/articles/2019-09-06/canada-s-jobs-market-surprises-again-with-monster-gain', 'url': 'https://t.co/xVTnvkFQoo'}]","{'id': 14260960, 'id_str': '14260960'}",[],,,,JustinTrudeau,2019-09-06 17:10:56+00:00,2019-09-06,2019-09-02,great news today good middle clas job canadian strong amp grow economy together ’ keep building progress chooseforward http t.co/xvtnvkfqoo,"Great news today: More good middle class jobs for Canadians,<br> and a strong &amp; growing economy. Together, we’ll keep bu<br>ilding on our progress. #ChooseForward https://t.co/xVTnvkFQ<br>o<br>",0.48666666666666664,0.5166666666666667,0.48333333333333334,0.5208333333333334
88,Fri Sep 06 14:54:09 +0000 2019,1380,"Over one million new jobs since November 2015 – and 81,100 new jobs in August alone. There’s more work to do – we’ll continue investing in Canadians to grow our economy, create even more jobs, and keep moving forward together. #ChooseForward https://t.co/aMga79Kij5",[{'text': 'ChooseForward'}],1169987155126566912,1169987155126566912,en,"[{'display_url': 'pic.twitter.com/aMga79Kij5', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1169987155126566912/photo/1', 'id': 1169987151070711812, 'media_url': 'http://pbs.twimg.com/media/EDyhHXNXUAQ74YY.png', 'media_url_https': 'https://pbs.twimg.com/media/EDyhHXNXUAQ74YY.png', 'sizes': {'large': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/aMga79Kij5'}]",354,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",[],"{'id': 14260960, 'id_str': '14260960'}",[],,,,JustinTrudeau,2019-09-06 14:54:09+00:00,2019-09-06,2019-09-02,"one million new job since november 2015 – 81,100 new job august alone ’ work – ’ continue invest canadian grow economy create even job keep move forward together chooseforward http t.co/amga79kij5","Over one million new jobs since November 2015 – and 81,100 n<br>ew jobs in August alone. There’s more work to do – we’ll con<br>tinue investing in Canadians to grow our economy, create eve<br>n more jobs, and keep moving forward together. #ChooseForwar<br>d https://t.co/aMga79Kij<br>",0.3181818181818182,0.4772727272727273,0.13636363636363635,0.45454545454545453
89,Fri Sep 06 13:08:55 +0000 2019,7958,"You’ll have a whole country with you tomorrow, @Bandreescu_! 🇨🇦 #SheTheNorth https://t.co/hhYK8cxnuQ",[{'text': 'SheTheNorth'}],1169960669967540224,1169960669967540224,en,,1111,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'expanded_url': 'https://twitter.com/TSN_Sports/status/1169811019016953856', 'url': 'https://t.co/hhYK8cxnuQ'}]","{'id': 14260960, 'id_str': '14260960'}","[{'id': 2752812749, 'id_str': '2752812749', 'name': 'Bianca', 'screen_name': 'Bandreescu_'}]","{'created_at': 'Fri Sep 06 03:14:15 +0000 2019', 'favorite_count': 8009, 'full_text': '""O Canada!""\n\n🇨🇦 Bianca Andreescu is off to the #USOpen final! https://t.co/SdERaIdQXY', 'hashtags': [{'text': 'USOpen'}], 'id': 1169811019016953856, 'id_str': '1169811019016953856', 'lang': 'en', 'media': [{'display_url': 'pic.twitter.com/SdERaIdQXY', 'expanded_url': 'https://twitter.com/TSN_Sports/status/1169811019016953856/photo/1', 'id': 1169811012293468160, 'media_url': 'http://pbs.twimg.com/media/EDwA6vIXoAA0mRm.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EDwA6vIXoAA0mRm.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1080, 'h': 1350, 'resize': 'fit'}, 'small': {'w': 544, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 960, 'h': 1200, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/SdERaIdQXY'}], 'retweet_count': 1567, 'source': '<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>', 'urls': [], 'user': {'id': 25375962, 'id_str': '25375962'}, 'user_mentions': []}",1.1698110190169539e+18,1169811019016953856,JustinTrudeau,2019-09-06 13:08:55+00:00,2019-09-06,2019-09-02,’ whole country tomorrow bandreescu 🇨🇦 shethenorth http t.co/hhyk8cxnuq,"You’ll have a whole country with you tomorrow, @Bandreescu_!<br> 🇨🇦 #SheTheNorth https://t.co/hhYK8cxnu<br>",0.25,0.4,0.2,0.4
91,Fri Sep 06 12:03:14 +0000 2019,4570,"Since 2015, we’ve worked hard to grow the middle class &amp; help people build better lives for their families. But there's more work to do – our kids, neighbours, and fellow Canadians are counting on us to keep going. Read why I’m for choosing forward ⤵️ https://t.co/P9k1cz0LhP",[],1169944142010605569,1169944142010605569,en,,758,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'expanded_url': 'https://www.thestar.com/opinion/contributors/2019/09/05/justin-trudeau-canadians-are-counting-on-us-to-keep-moving-forward.html', 'url': 'https://t.co/P9k1cz0LhP'}]","{'id': 14260960, 'id_str': '14260960'}",[],,,,JustinTrudeau,2019-09-06 12:03:14+00:00,2019-09-06,2019-09-02,since 2015 ’ work hard grow middle clas amp help person build good life family work – kid neighbour fellow canadian count u keep go read ’ choose forward ⤵️ http t.co/p9k1cz0lhp,"Since 2015, we’ve worked hard to grow the middle class &amp;<br> help people build better lives for their families. But ther<br>e's more work to do – our kids, neighbours, and fellow Canad<br>ians are counting on us to keep going. Read why I’m for choo<br>sing forward ⤵️ https://t.co/P9k1cz0Lh<br>",0.17708333333333331,0.38541666666666663,0.1361111111111111,0.38055555555555554
93,Fri Sep 06 02:20:55 +0000 2019,1211,We must counter hatred and violent extremism online – and the Christchurch Call to Action is an important step in getting there. PM @jacindaardern and I spoke today about the progress we’ve made so far. More on our call: https://t.co/K5gBwdHljA,[],1169797594937286656,1169797594937286656,en,,263,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[{'expanded_url': 'https://pm.gc.ca/en/news/readouts/2019/09/05/prime-minister-justin-trudeau-speaks-prime-minister-new-zealand-jacinda', 'url': 'https://t.co/K5gBwdHljA'}]","{'id': 14260960, 'id_str': '14260960'}","[{'id': 22959763, 'id_str': '22959763', 'name': 'Jacinda Ardern', 'screen_name': 'jacindaardern'}]",,,,JustinTrudeau,2019-09-06 02:20:55+00:00,2019-09-06,2019-09-02,must counter hatred violent extremism online – christchurch call action important step get pm jacindaardern speak today progress ’ make far call http t.co/k5gbwdhlja,We must counter hatred and violent extremism online – and th<br>e Christchurch Call to Action is an important step in gettin<br>g there. PM @jacindaardern and I spoke today about the progr<br>ess we’ve made so far. More on our call: https://t.co/K5gBwd<br>Hlj<br>,0.059999999999999984,0.72,-0.05000000000000001,0.775
95,Fri Sep 06 01:36:38 +0000 2019,699,"Come for the food, stay for the conversations! @MicheleFisherDC and I stopped by Mercato Fine Foods in Bolton, ON, today to chat with locals. https://t.co/bT9e3b1cdZ",[],1169786452118560768,1169786452118560768,en,"[{'display_url': 'pic.twitter.com/bT9e3b1cdZ', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1169786452118560768/photo/1', 'id': 1169786447018303488, 'media_url': 'http://pbs.twimg.com/media/EDvqk2WXoAAcmxt.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EDvqk2WXoAAcmxt.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1364, 'resize': 'fit'}, 'small': {'w': 680, 'h': 453, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 799, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/bT9e3b1cdZ'}, {'display_url': 'pic.twitter.com/bT9e3b1cdZ', 'expanded_url': 'https://twitter.com/JustinTrudeau/status/1169786452118560768/photo/1', 'id': 1169786448284966913, 'media_url': 'http://pbs.twimg.com/media/EDvqk7EXYAE8oUB.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EDvqk7EXYAE8oUB.jpg', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 800, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1366, 'resize': 'fit'}, 'small': {'w': 680, 'h': 454, 'resize': 'fit'}}, 'type': 'photo', 'url': 'https://t.co/bT9e3b1cdZ'}]",92,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",[],"{'id': 14260960, 'id_str': '14260960'}","[{'id': 3325248370, 'id_str': '3325248370', 'name': 'Michele Fisher', 'screen_name': 'MicheleFisherDC'}]",,,,JustinTrudeau,2019-09-06 01:36:38+00:00,2019-09-06,2019-09-02,come food stay conversation michelefisherdc stop mercato fine food bolton today chat local http t.co/bt9e3b1cdz,"Come for the food, stay for the conversations! @MicheleFishe<br>rDC and I stopped by Mercato Fine Foods in Bolton, ON, today<br> to chat with locals. https://t.co/bT9e3b1cd<br>",0.4166666666666667,0.5,0.20833333333333334,0.25
